Info 0    [9:1:23.992] Format host information updated
Info 1    [9:1:23.993] reload projects.
Info 2    [9:1:23.993] Before ensureProjectForOpenFiles:
Info 3    [9:1:23.994] After ensureProjectForOpenFiles:
Info 4    [9:1:23.994] Host file extension mappings updated
Info 5    [9:1:24.6] Search path: /opt/tomcat/webapps/teChegaPraLer
Info 6    [9:1:24.7] For info: /opt/tomcat/webapps/teChegaPraLer/index.jsp :: No config files found.
Info 7    [9:1:24.9] Loading global plugin @angular/language-service
Info 8    [9:1:24.10] Enabling plugin @angular/language-service from candidate paths: /home/samirsouza/.vscode/extensions/angular.ng-template-0.1001.1/server/node_modules/@angular/language-service/bundles/language-service.js,/home/samirsouza/.vscode/extensions/angular.ng-template-0.1001.1/node_modules/typescript/lib/tsserverlibrary.js/../../..
Info 9    [9:1:24.10] Loading @angular/language-service from /home/samirsouza/.vscode/extensions/angular.ng-template-0.1001.1/server/node_modules/@angular/language-service/bundles/language-service.js (resolved to /home/samirsouza/.vscode/extensions/angular.ng-template-0.1001.1/server/node_modules/@angular/language-service/bundles/language-service.js/node_modules)
Info 10   [9:1:24.126] Plugin validation succeded
Info 11   [9:1:24.130] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [9:1:25.681] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1550ms
Info 13   [9:1:25.681] Project '/dev/null/inferredProject1*' (Inferred)
Info 14   [9:1:25.682] 	Files (6)

Info 15   [9:1:25.682] -----------------------------------------------
Info 16   [9:1:31.565] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [9:1:31.621] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 56ms
Info 18   [9:1:31.621] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 19   [9:1:31.690] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [9:1:31.700] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 10ms
Info 21   [9:1:31.700] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 22   [9:1:31.797] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [9:1:31.825] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 28ms
Info 24   [9:1:31.826] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 25   [9:1:32.262] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [9:1:32.294] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 32ms
Info 27   [9:1:32.294] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 28   [9:1:33.90] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [9:1:33.112] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 22ms
Info 30   [9:1:33.112] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 31   [9:1:36.790] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [9:1:36.815] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 25ms
Info 33   [9:1:36.815] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 34   [9:1:36.816] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [9:1:36.845] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 29ms
Info 36   [9:1:36.846] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 37   [9:1:37.770] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 38   [9:1:37.782] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 12ms
Info 39   [9:1:37.782] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 40   [9:1:38.298] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [9:1:38.347] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 48ms
Info 42   [9:1:38.348] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 43   [9:1:39.713] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [9:1:39.812] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 99ms
Info 45   [9:1:39.814] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 46   [9:1:39.859] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 47   [9:1:39.873] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 14ms
Info 48   [9:1:39.873] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 49   [9:1:39.994] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [9:1:40.34] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 39ms
Info 51   [9:1:40.34] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 52   [9:1:40.486] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [9:1:40.508] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 22ms
Info 54   [9:1:40.508] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 55   [9:1:41.120] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
